0,1,2,3,4,5,6,7,8,9
Western Europe,Other Milk-Based Products,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Other Milk-Based Products,Pet Care,Tonnes,42.131,42.992,43.415,43.348,43.401,43.606
Western Europe,Minerals,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Minerals,Pet Care,Tonnes,61.095,62.290,62.865,62.810,63.062,63.539
Western Europe,Calcium,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Calcium,Pet Care,Tonnes,1.539,1.561,1.568,1.548,1.548,1.561
Western Europe,Iron,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Iron,Pet Care,Tonnes,13,13,13,13,13,13
Western Europe,Magnesium,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Magnesium,Pet Care,Tonnes,05,05,05,05,05,05
Western Europe,Zinc,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Zinc,Pet Care,Tonnes,03,03,03,03,03,04
Western Europe,Other Minerals,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Other Minerals,Pet Care,Tonnes,59.534,60.707,61.276,61.241,61.493,61.956
Western Europe Polysaccharides and Oligosaccharides,Pet Care,% Breakdown,10,10,10,10,10,10,
Western Europe Polysaccharides and Oligosaccharides,Pet Care,Tonnes,602.617,614.196,619.705,618.241,619.455,622.324,
Western Europe,Agar,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Agar,Pet Care,Tonnes,2.293,2.349,2.375,2.381,2.385,2.398
Western Europe,Alginates,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Alginates,Pet Care,Tonnes,2.374,2.421,2.439,2.417,2.393,2.352
Western Europe,Beta-Glucan,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Beta-Glucan,Pet Care,Tonnes,975,988,978,966,977,988
Western Europe,Carboxymethyl Cellulose,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Carboxymethyl Cellulose,Pet Care,Tonnes,1.537,1.599,1.642,1.659,1.722,1.808
Western Europe,Carrageenans,Pet Care,% Breakdown,00,00,00,00,00,00
